Rank, Album Name, Rating, #votes, Popularity
74, TALES OF THE TEMPEST Original Soundtrack, 3.14, 11, 0.0296
75, Denpa Ningen no RPG Original Soundtrack, 2.54, 12, 0.0304
76, Thunderbolt Fantasy Sword seekers Original Soundtrack, 4.75, 18, 0.0305
77, Attack on Titan -Guren no Yumiya- Original sound track, 4.29, 12, 0.0308
78, Shin Megami Tensei: Persona 3 Original Soundtrack, 3.41, 11, 0.0310
79, The Seven Deadly Sins ORIGINAL SOUNDTRACK 2, 4.28, 16, 0.0320
80, We Are Error, 4.23, 11, 0.0320
81, Donkey Kong Country 3: Double the Trouble!, 3.21, 12, 0.0323
82, PLATINA DATA Original Soundtrack, 4.95, 11, 0.0324
83, Death Parade Original Soundtrack Digest Edition, 3.75, 22, 0.0325
84, GRADIUS house ReMix, 2.35, 13, 0.0331
85, GUILTY CROWN SOUNDTRACK ANOTHER SIDE 01, 4.42, 12, 0.0332
86, KILL la KILL REARRANGE & REMIX SOUNDTRACK CD, 3.87, 15, 0.0333
87, Triangle Original Soundtrack, 4.98, 22, 0.0334
88, ZELDA Triforce Trilogy, 3.90, 15, 0.0345
89, DECADE OF EXPOSE, 3.23, 11, 0.0350
90, TV animation Gigantic Formula Original Sound Track Vol.2, 4.83, 12, 0.0353
91, TV animation Gigantic Formula Original Sound Track Vol.1, 4.89, 14, 0.0353
92, ROCKMAN HOLIC ~the 25th Anniversary~, 3.82, 11, 0.0355
93, Dione Aggregation, 4.00, 11, 0.0361
94, narrative/NOISEofRAIN / SawanoHiroyuki[nZk], 4.41, 17, 0.0362
95, Seraph of the end: Battle in Nagoya ORIGINAL SOUNDTRACK, 4.38, 13, 0.0364
96, THE LEGEND OF ZELDA BREATH OF THE WILD SOUND SELECTION, 3.25, 16, 0.0366
97, Sonic the Hedgehog 2: Hedgehog Heaven, 3.54, 12, 0.0369
98, Over The Rainbow, 4.36, 11, 0.0369
99, BEFORE THE FALL: FINAL FANTASY XIV Original Soundtrack, 3.63, 12, 0.0370
100, DISSIDIA FINAL FANTASY -Arcade- ORIGINAL SOUNDTRACK, 3.03, 16, 0.0371
101, Blue Exorcist Plugless [Limited Edition], 4.64, 14, 0.0372
102, Solitude Blossom, 3.55, 11, 0.0374
103, Valhalla Knights -Eldar Saga- Original Soundtrack, 3.13, 12, 0.0381
104, FINAL FANTASY X-2 Vocal Collection PAINE, 2.27, 13, 0.0382
105, PLAY! A VIDEO GAME SYMPHONY LIVE!, 2.71, 14, 0.0382
106, Distant Worlds III: more music from FINAL FANTASY, 3.82, 11, 0.0386
107, Grand Theft Auto: Vice City Official Soundtrack Box Set, 4.58, 12, 0.0390
108, Portal 2: Songs to Test By Volume 2, 3.95, 11, 0.0398
109, TV ANIMATION "HAIKYU!! THIRD SEASON" ORIGINAL SOUNDTRACK, 4.10, 24, 0.0399
110, RIDGE LASER, 2.75, 12, 0.0399
111, YAMANAIAME, 4.54, 12, 0.0400
112, Shenmue Jukebox, 3.41, 11, 0.0403
113, Spectrum of Mana, 4.27, 11, 0.0404
114, STREET FIGHTER X TEKKEN ORIGINAL SOUND TRACK, 3.09, 11, 0.0405
115, Death Parade Blu-ray BOX Bonus Discs, 4.42, 19, 0.0407
116, Mare Original Soundtrack, 4.72, 23, 0.0410
117, THE LEGEND OF HEROES: SEN NO KISEKI II ORIGINAL SOUNDTRACK, 4.45, 11, 0.0413
118, Immortal 2, 3.68, 11, 0.0413
119, Mega Man X: Maverick Rising, 4.00, 15, 0.0417
120, GRADIUS TRIBUTE, 2.50, 12, 0.0419
121, Teenage Mutant Ninja Turtles: Shell Shocked, 3.82, 11, 0.0420
122, DmC: Devil May Cry Noisia Soundtrack, 2.58, 12, 0.0424
123, SONIC ADVENTURE Original Soundtrack 20th Anniversary Edition, 4.64, 11, 0.0424
124, KILL la KILL ORIGINAL SOUNDTRACK CD Vol.2, 4.47, 16, 0.0425
125, Seraph of the end ORIGINAL SOUNDTRACK, 4.37, 15, 0.0425
126, Speed Nation: The Original RR64 Soundtrack, 3.36, 11, 0.0427
127, N7 Collector's Edition Soundtrack, 3.50, 11, 0.0437
128, Sonic the Hedgehog: The Sound of Speed, 3.75, 14, 0.0439
129, TRIPLE THREAT: SONIC HEROES VOCAL TRAX, 3.85, 13, 0.0439
130, Shadow the Hedgehog Original Soundtrax, 4.08, 13, 0.0440
131, FINAL FANTASY XV Original Soundtrack, 3.65, 13, 0.0441
132, POP | CULTURE, 2.79, 12, 0.0442
133, ALICE ORDER ORIGINAL SOUNDTRACK, 4.71, 19, 0.0450
134, DEVILMAN crybaby Original Soundtrack, 4.05, 11, 0.0451
135, BLUE REFLECTION OFFICIAL SOUNDTRACK, 4.64, 11, 0.0452
136, MOBILE SUIT GUNDAM UNICORN ORIGINAL SOUNDTRACK 4, 4.40, 21, 0.0453
137, ALDNOAH.ZERO ORIGINAL SOUNDTRACK 2, 4.18, 25, 0.0454
