Rank, Album Name, Rating, #votes, Popularity
86, Final Fantasy III Legend of the Eternal Wind, 4.22, 34, 0.3204
87, Final Fantasy USA: Mystic Quest Sound Collections, 4.26, 40, 0.3192
88, Sailing to the World, 4.27, 35, 0.3188
89, Shin Hikari Shinwa Palutena no Kagami Original Soundtrack, 4.35, 48, 0.3187
90, Piano Collections FINAL FANTASY VIII, 4.30, 42, 0.3178
91, BAYONETTA ORIGINAL SOUNDTRACK, 4.39, 59, 0.3170
92, ODIN SPHERE Original Soundtrack, 4.08, 48, 0.3156
93, Xenosaga Original Soundtrack, 4.20, 35, 0.3135
94, Piano Collection FINAL FANTASY X-2, 4.35, 31, 0.3132
95, Perfect Selection Dracula ~NEW CLASSIC~, 4.40, 41, 0.3128
96, Star Ocean: The Second Story Original Soundtrack, 4.34, 34, 0.3113
97, The Legend of Zelda: Ocarina of Time Hyrule Symphony, 4.24, 38, 0.3084
98, GUILTY GEAR X HEAVY ROCK TRACKS ~ The Original Sound Track of Dreamcast!!, 4.50, 34, 0.3081
99, TALES OF LEGENDIA ORIGINAL SOUNDTRACK, 4.48, 44, 0.3050
100, Castlevania Original Soundtrack, 4.11, 41, 0.3047
101, Breath of Fire V Dragon Quarter Original Soundtrack, 4.30, 37, 0.3046
102, Distant Worlds: music from FINAL FANTASY, 4.32, 38, 0.3043
103, opoona original soundtrack, 4.50, 35, 0.3041
104, F-ZERO X Guitar Arrange Edition, 4.45, 37, 0.3036
105, Motoi Sakuraba Live Concert Star Ocean & Valkyrie Profile, 4.37, 26, 0.3033
106, Katamari Damacy Soundtrack "Katamari Fortissimo Damacy", 4.34, 46, 0.3024
107, CLANNAD ORIGINAL SOUNDTRACK, 4.60, 47, 0.3024
108, KINGDOM HEARTS ORIGINAL SOUNDTRACK, 4.16, 37, 0.3019
109, THE BLACK MAGES III Darkness and Starlight, 3.98, 46, 0.3017
110, Akumajo Dracula X Chronicle Original Soundtrack, 4.39, 45, 0.3008
111, DRAG-ON DRAGOON 2 ORIGINAL SOUNDTRACK, 4.43, 30, 0.3006
112, Super Mario Yoshi Island Original Sound Version, 4.37, 41, 0.2986
113, FINAL FANTASY XI Original Soundtrack, 4.16, 34, 0.2975
114, FINAL FANTASY VII Reunion Tracks, 4.06, 34, 0.2971
115, DIRGE of CERBERUS -FINAL FANTASY VII- Original Soundtrack, 3.71, 57, 0.2967
116, SHADOW HEARTS Original Soundtracks plus1, 4.35, 40, 0.2965
117, SUPER MARIO GALAXY 2 ORIGINAL SOUND TRACK, 4.39, 47, 0.2959
118, deathsmiles original sound track, 4.24, 37, 0.2958
119, SIGMA HARMONICS Original Soundtrack, 4.29, 35, 0.2958
