Rank, Album Name, Rating, #votes, Popularity
360, GAME MUSIC CONCERT 4 by Symphony Orchestra -Live Best Collection-, 4.08, 19, 0.1996
361, Sekaiju no MeiQ³ *seikai no raihousya* ORIGINAL SOUNDTRACK, 4.30, 27, 0.1994
362, THE LEGEND OF ZELDA -Takt of Wind- ORIGINAL SOUND TRACKS, 4.00, 42, 0.1988
363, Ar tonelico II: Sekai ni Hibiku Shoujotachi no Metafalica Original Soundtrack, 4.40, 21, 0.1988
364, GENSOSUIKODEN II ORIGINAL GAME SOUNDTRACK Complete Box, 4.45, 22, 0.1987
365, BORDER DOWN -Sound Tracks-, 4.63, 19, 0.1985
366, Legend of Joe Musashi: SHINOBI Music Collection, 4.50, 22, 0.1984
367, VM JAPAN ORIGINAL SOUND TRACK, 4.38, 26, 0.1978
368, Noora to Toki no Koubou: Kiri no Mori no Majo ORIGINAL SOUNDTRACK, 4.64, 25, 0.1969
369, Romancing SaGa La Romance, 3.98, 23, 0.1967
370, memória! / The Very Best of Yoko Shimomura, 4.15, 27, 0.1963
371, NieR Tribute Album -echo-, 3.59, 32, 0.1963
372, Policenauts F/N, 4.69, 18, 0.1961
373, Senjou no Valkyria 2 Gallia Ouritsu Shikan Gakkou ORIGINAL SOUNDTRACK, 4.05, 22, 0.1959
374, SOUL EDGE Original Sound Track KHAN SUPER SESSION, 4.38, 20, 0.1958
375, Ys VI ORIGINAL SOUND TRACK, 4.26, 23, 0.1954
376, Gradius Gaiden Original Game Soundtrack, 4.26, 21, 0.1953
377, Perfect Collection Ys IV The Dawn of Ys Vol. 1, 4.12, 21, 0.1950
378, TEKKEN 3 PlayStation Soundtrack 002, 4.35, 23, 0.1949
379, Music from Ys V Ushinawareta Suna no Miyako Kefin, 4.32, 17, 0.1943
380, Mario Kart 64 Original Soundtrack, 4.00, 25, 0.1941
381, The Elder Scrolls V: Skyrim Original Game Soundtrack, 4.06, 36, 0.1937
382, MOONLiT SHADOW, 4.07, 28, 0.1933
383, Wangan Midnight MAXIMUM TUNE 3 ORIGINAL SOUNDTRACKS, 4.25, 26, 0.1930
384, SUPER DONKEY KONG 2 DIXIE & DIDDY ORIGINAL SOUND VERSION, 4.54, 23, 0.1925
385, SOULCALIBUR IV ORIGINAL SOUNDTRACK, 4.12, 21, 0.1924
386, Romancing SaGa 2 Original Sound Version, 3.90, 24, 0.1920
387, KINGDOM HEARTS 3D [Dream Drop Distance] Original Soundtrack, 4.50, 24, 0.1920
388, PERFECT SELECTION KONAMI SHOOTING BATTLE, 4.31, 21, 0.1919
389, Makaimura Ongakutaizen, 4.53, 20, 0.1913
390, XenobladeX Original Soundtrack, 4.14, 186, 0.1909
391, Shining the Holy Ark Original Soundtrack, 4.50, 23, 0.1908
392, The Syber Punk Adventure Snatcher -Zoom Tracks-, 4.71, 19, 0.1908
393, F-ZERO GX/AX Original Soundtracks, 4.18, 34, 0.1907
394, DODONPACHI SAIDAIOUJOU / DODONPACHI MAXIMUM ORIGINAL SOUND TRACK, 3.84, 22, 0.1901
395, DK Jamz: The Original Donkey Kong Country Soundtrack, 4.22, 36, 0.1900
396, Ni no Kuni: Shikkoku no Madoushi Original Soundtrack, 4.48, 21, 0.1895
397, ACE COMBAT 2 ORIGINAL SOUNDTRACK, 4.27, 22, 0.1894
398, Persona 2: Eternal Punishment Original Sound Tracks, 4.38, 21, 0.1894
399, GAME SOUND LEGEND CONSUMER SERIES BIOGRAPHY ESTPOLIS SOUND TRACK, 4.48, 21, 0.1891
400, SaGa Frontier Original Sound Track, 3.96, 25, 0.1891
401, Valkyrie Profile 2 -Silmeria- Original Soundtrack Vol.2 Silmeria Side, 4.09, 23, 0.1890
402, carpe diem "SENKO no RONDE" ORIGINAL SOUND TRACKS Volume 2, 4.19, 24, 0.1884
403, METAL GEAR SOLID PEACE WALKER ORIGINAL SOUNDTRACK, 4.33, 24, 0.1881
404, Killer Cuts, 3.93, 22, 0.1880
405, dodonpachi DAI-OU-JOU [arrange album], 4.15, 20, 0.1879
406, PLANETARY PIECES SONIC WORLD ADVENTURE ORIGINAL SOUNDTRACK, 4.41, 34, 0.1876
407, DRAG-ON DRAGOON Original Soundtrack, 4.05, 20, 0.1875
408, Guilty Gear Original Sound Collection, 4.14, 21, 0.1870
409, THE KING OF FIGHTERS '96 ARRANGE SOUND TRAX, 4.75, 22, 0.1867
410, Valkyrie Profile 2 -Silmeria- Original Soundtrack Vol.1 Alicia Side, 4.02, 23, 0.1855
411, Nintendo DS Pokémon Diamond & Pearl Super Music Collection, 4.09, 33, 0.1854
412, 2197, 4.06, 24, 0.1853
413, SONIC THE HEDGEHOG CD Original Soundtrack 20th Anniversary Edition, 4.50, 27, 0.1853
414, Cuphead Original Soundtrack, 4.66, 19, 0.1845
415, SONIC ADVENTURE "Digi-LOG Conversation" Original Sound Track, 4.48, 43, 0.1842
416, THE SUPER SHINOBI & WORKS, 4.45, 20, 0.1842
417, Nintendo DS Pokémon Black・White Super Music Collection, 4.53, 30, 0.1841
418, METAL GEAR SOLID 4 GUNS OF THE PATRIOTS ORIGINAL SOUNDTRACK, 3.79, 26, 0.1841
419, THE LEGEND OF HEROES VI SORA NO KISEKI ORIGINAL SOUND TRACK, 4.39, 22, 0.1840
420, 20th Anniversary Rockman 1~6 Rock Arrange Ver., 3.83, 35, 0.1839
421, ACE COMBAT 6 Fires of Liberation Original Soundtrack, 3.84, 28, 0.1837
422, Falcom J.D.K. BAND 1, 4.17, 24, 0.1837
423, Street Fighter II The Definitive Soundtrack, 4.59, 17, 0.1836
424, DISSIDIA FINAL FANTASY ORIGINAL SOUNDTRACK [Limited Edition], 3.66, 46, 0.1835
425, dodonpachi DAI-OU-JOU & ESPGALUDA -Perfect remix-, 4.20, 20, 0.1835
426, LUNAR ~ETERNAL BLUE, 4.61, 14, 0.1831
427, WILD ARMS the Vth Vanguard ORIGINAL SCORE Vol.2, 4.26, 21, 0.1828
428, NO MORE HEROES ORIGINAL SOUND TRACKS, 4.19, 26, 0.1828
429, METAL GEAR SOLID 2 SONS OF LIBERTY SOUNDTRACK 2 : THE OTHER SIDE, 4.07, 22, 0.1827
430, SILENT HILL ZERO ORIGINAL SOUNDTRACKS, 4.04, 23, 0.1824
431, Piano Collections KINGDOM HEARTS FIELD & BATTLE, 4.16, 25, 0.1822
432, Atelier Iris ETERNAL MANA 2 Original Soundtrack, 4.22, 18, 0.1820
433, Final Fantasy Crystal Chronicles The Crystal Bearers Music Collections, 4.00, 26, 0.1817
434, WILD ARMS the 4th Detonator ORIGINAL SCORE, 4.05, 20, 0.1809
435, WILD ARMS XF ORIGINAL SOUNDTRACK, 3.88, 21, 0.1807
436, DARIUSBURST REMIX WONDER WORLD, 4.30, 22, 0.1807
437, Snatcher, 4.59, 16, 0.1802
438, Alphabet Planet, 3.91, 16, 0.1799
439, MOTHER 1+2 Original Soundtrack, 4.10, 25, 0.1799
440, Manabu Namiki Selection Deathsmiles Premium Arrange Album, 3.90, 29, 0.1796
441, Perfect Collection Ys IV The Dawn of Ys Vol. 2, 4.11, 18, 0.1796
442, Silent Hill Homecoming Soundtrack, 3.94, 27, 0.1793
443, Piano Collections FINAL FANTASY XI, 3.65, 24, 0.1793
444, Forest of glass / Motoi Sakuraba, 4.13, 19, 0.1792
445, The Very Best of Kirby: 52 Hit Tracks, 4.50, 18, 0.1792
446, Tenchu SOUNDTRACK, 4.52, 26, 0.1790
447, Tales of Phantasia Original Soundtrack Complete Version, 3.57, 22, 0.1788
448, SOULCALIBUR V ORIGINAL SOUNDTRACK, 4.35, 20, 0.1787
449, Shatter - Official Videogame Soundtrack, 4.48, 21, 0.1786
450, Sen to Chihiro no Kamikakushi Soundtrack, 4.32, 19, 0.1786
451, GRANDIA ORIGINAL SOUNDTRACKS II, 3.88, 24, 0.1785
452, Genso Suikoden Tierkreis Original Soundtrack, 4.35, 17, 0.1782
453, THE LAST STORY Original Soundtrack, 3.67, 33, 0.1777
454, End of Eternity Original Soundtrack, 3.63, 28, 0.1776
455, Lunar ~The Silver Star~, 4.21, 14, 0.1775
456, PERFECT SELECTION KONAMI BATTLE the BEST, 4.63, 16, 0.1774
457, SILENT HILL 3 original soundtrack, 4.23, 28, 0.1770
458, BLUE DRAGON ORIGINAL SOUNDTRACK, 3.65, 33, 0.1766
459, GAME MUSIC CONCERT 3 by Symphony Orchestra, 4.06, 17, 0.1765
460, Gyakuten Saiban Sound BOX, 4.55, 20, 0.1764
461, Music from Ys II, 4.25, 14, 0.1763
462, Music from Braid, 4.44, 24, 0.1759
463, Piano Collections FINAL FANTASY XII, 4.33, 18, 0.1754
464, BIOHAZARD 2 COMPLETE TRACK, 3.81, 27, 0.1754
465, STREET FIGHTER II ALPH-LYLA with YUJI TORIYAMA, 4.07, 29, 0.1753
466, Perfect Collection Ys II, 4.03, 20, 0.1751
467, Ys Origin Super Arrange Version, 4.00, 21, 0.1749
468, Atelier Iris GRAND FANTASM Original Soundtrack, 4.18, 22, 0.1749
469, Another Mind Original Soundtrack, 4.11, 23, 0.1748
470, Piano Pieces "SF 2" Rhapsody on a Theme of SaGa FRONTIER 2, 4.39, 19, 0.1743
471, PHANTASY STAR COLLECTION: Sound Collection I, 4.69, 24, 0.1743
472, Mystic Ark Soundtrack, 4.28, 16, 0.1742
473, CHRONOTORIOUS, 3.98, 27, 0.1736
474, Langrisser II Original Game Music, 4.36, 18, 0.1735
475, GRADIUS IV FUKKATSU ORIGINAL GAME SOUNDTRACK, 4.00, 21, 0.1731
476, "FINAL FANTASY XIV" FIELD TRACKS, 3.96, 27, 0.1731
477, Daikoukai Jidai II Special Edition, 4.53, 17, 0.1730
478, Onimusha 2 ORIGINAL SOUNDTRACK, 4.13, 15, 0.1729
479, Re:Birth II / Romancing SaGa Battle Arrange, 4.30, 25, 0.1727
480, Senjou no Valkyria 3 -Unrecorded Chronicles- Original Soundtrack, 3.98, 22, 0.1726
481, Baten Kaitos II: Hajimari no Tsubasa to Kamigami no Shishi Original Soundtrack, 4.13, 26, 0.1724
482, Valkyrie Profile 2 -Silmeria- Arrange Album, 4.38, 17, 0.1723
483, BRAVE FENCER "MUSASHIDEN" Original Soundtrack, 3.76, 21, 0.1722
484, MUGEN KAIROU ORIGINAL SOUND TRACK, 4.34, 16, 0.1720
485, GRANDIA III ~original sound tracks~, 3.95, 22, 0.1718
486, Akumajo Dracula Tribute Vol.2, 3.50, 28, 0.1716
487, Xenoblade Special Sound Track, 3.97, 19, 0.1716
488, Sekaiju no MeiQ² *shoou no seihai* Super Arrange Version, 3.86, 22, 0.1716
489, SUPER HANG-ON 20th Anniversary Collection, 4.73, 20, 0.1713
490, Breath of Fire IV Original Soundtrack, 3.90, 20, 0.1710
491, Atelier Iris ETERNAL MANA Arranged Tracks DECEITFUL WINGS, 4.43, 20, 0.1705
492, Assassin's Creed II Original Game Soundtrack, 4.55, 19, 0.1703
493, Napple Tale Illustrated Guide to the Monsters, 4.50, 17, 0.1702
494, GAME MUSIC CONCERT 5 by Symphony Orchestra -Live Best Collection-, 4.00, 16, 0.1699
495, Aion ~The Tower Of Eternity~ Original Sound Track, 4.29, 21, 0.1696
496, Grand Knights History Original Soundtrack, 4.12, 21, 0.1695
497, Metroid Metal - Varia Suite, 4.29, 26, 0.1693
498, BENYAMIN NUSS PLAYS UEMATSU, 3.26, 35, 0.1692
499, GENSOSUIKODEN V Original Soundtrack, 4.19, 24, 0.1691
500, Burn My Dread -Reincarnation: PERSONA3-, 4.04, 24, 0.1689
501, FINAL FANTASY VI Original Soundtrack Remaster Version, 4.80, 23, 0.1689
502, Koudelka, 3.82, 22, 0.1684
503, Symphonic Suite Dragon Quest VI The Phantom World, 4.10, 15, 0.1681
504, Sekaiju no MeiQ⁴ *denshou no kyojin* Super Arrange Version, 4.10, 25, 0.1679
505, Castlevania: Lament of Innocence Limited Edition Music Sampler, 3.88, 13, 0.1678
506, Kirby Ultra Super Deluxe Original Sound Track, 4.27, 26, 0.1677
507, METAL GEAR / METAL GEAR 2 SOLID SNAKE Music Collection, 4.40, 15, 0.1675
508, biohazard SOUND CHRONICLE BEST TRACK BOX, 4.40, 24, 0.1671
509, "TEKKEN 5" "TEKKEN DARK RESURRECTION" Original Soundtrack, 4.12, 21, 0.1670
510, Yuzo Koshiro BEST COLLECTION vol.1, 4.47, 19, 0.1669
511, BIOHAZARD -CODE:Veronica- Complete Version ORIGINAL SOUNDTRACK, 4.00, 17, 0.1668
512, .hack//SIGN ORIGINAL SOUND & SONG TRACK 1, 4.42, 18, 0.1666
513, ESPGALUDA II Black Label ORIGINAL SOUND TRACK, 3.90, 21, 0.1665
514, Image from King Colossus -Tougi Ou no Gensou Kumikyoku-, 4.63, 15, 0.1664
515, NieR Gestalt & Replicant 15 Nightmares & Arrange Tracks, 3.50, 28, 0.1664
516, THE LAST OF US SOUNDTRACK, 4.13, 26, 0.1661
517, Kanon ORIGINAL SOUNDTRACK, 4.43, 20, 0.1660
518, Karigurashi no Arrietty Soundtrack, 4.65, 13, 0.1659
519, ACE COMBAT 3 ELECTROSPHERE : DIRECT AUDIO, 4.05, 21, 0.1659
520, FANTASY ZONE: ULTRA SUPER BIG MAXIMUM GREAT STRONG COMPLETE ALBUM, 4.82, 17, 0.1658
521, KUKEIHA CLUB pro-fusion ~SALAMANDER~, 4.24, 23, 0.1657
522, NiGHTS Original Soundtrack, 4.41, 17, 0.1656
523, SONIC GENERATIONS ORIGINAL SOUNDTRACK BLUE BLUR, 4.45, 30, 0.1655
524, Fire Emblem if ORIGINAL SOUNDTRACK, 4.58, 26, 0.1654
525, "FINAL FANTASY XIV" BATTLE TRACKS, 3.77, 30, 0.1653
526, Colours of Light: yasunori mitsuda vocal collection, 4.62, 17, 0.1649
527, Melodies Of Life ~featured in FINAL FANTASY IX, 4.50, 18, 0.1649
528, LAST RANKER Limited Soundtrack -Piano Trio Arrange-, 4.21, 17, 0.1646
529, AKAI KATANA SHIN ARRANGE ALBUM, 4.25, 18, 0.1643
530, CATHERINE Original Soundtrack, 3.82, 34, 0.1642
531, STAR OCEAN Soundtrack, 3.94, 17, 0.1641
532, DEATH NOTE original soundtrack, 4.38, 21, 0.1640
533, FINAL FANTASY VI Special Tracks, 3.61, 22, 0.1640
534, ACE COMBAT ASSAULT HORIZON ORIGINAL SOUNDTRACK, 3.80, 27, 0.1639
535, BlazBlue -Calamity Trigger- Limited Edition Soundtrack, 4.36, 21, 0.1639
536, We Love Katamari Damacy Original Soundtrack, 4.12, 25, 0.1639
537, TOBAL2 Original Sound Track, 4.75, 14, 0.1638
538, Final Fantasy VII: Voices of the Lifestream, 3.48, 45, 0.1636
539, PHANTASY STAR 1st Series Complete Album, 4.52, 24, 0.1633
540, Oto Gift, 4.63, 15, 0.1632
541, METAL BLACK, 4.61, 18, 0.1630
542, KE-TSU-I kizunajigokutachi [ARRANGE ALBUM], 3.75, 20, 0.1629
543, PSYVARIAR "THE MIX", 4.61, 23, 0.1628
544, Echoes of War: The Music of Blizzard Entertainment Legendary Edition, 3.82, 19, 0.1624
545, 7TH DRAGON ORIGINAL SOUNDTRACK, 4.10, 20, 0.1624
546, PERSONA2 INNOCENT SIN. ORIGINAL SOUNDTRACK, 4.43, 22, 0.1621
547, Ys IV J.D.K. SPECIAL The Dawn of Ys, 4.06, 16, 0.1621
548, GRADIUS IN CLASSIC II, 4.23, 11, 0.1619
549, STELLA DEUS BGM ReArrange Album, 3.89, 19, 0.1619
550, NINE HOURS NINE PERSONS NINE DOORS SOUNDTRACK, 4.43, 21, 0.1617
551, MUSIC FROM Ys III WANDERERS FROM Ys, 4.16, 16, 0.1616
552, MARIO & ZELDA BIG BAND LIVE CD, 4.24, 29, 0.1614
553, Tekken Tag Tournament Direct Audio, 4.22, 16, 0.1613
554, KIRBY TRIPLE DELUXE SOUND SELECTION, 4.66, 22, 0.1612
555, SALAMANDER ARCADE SOUNDTRACK, 4.44, 18, 0.1610
556, Super Street Fighter II: The New Challengers Arcade Gametrack, 4.18, 19, 0.1608
557, El Shaddai: Ascension of the Metatron Original Soundtrack, 4.06, 27, 0.1608
558, FINAL FANTASY XIII Original Soundtrack PLUS, 3.81, 34, 0.1606
559, CHOCOBO NO FUSHIGINA DUNGEON: COI VANNI GIALLI, 4.37, 15, 0.1603
560, The Elder Scrolls IV: Oblivion, 4.02, 22, 0.1602
561, Megami Ibunroku Persona Original Soundtrack & Arrange Album, 4.47, 15, 0.1601
562, S.S.T. Band Live! -G.S.M. SEGA-, 4.61, 14, 0.1601
563, More Friends music from FINAL FANTASY ~Final Fantasy Orchestra Concert in Los Angeles 2005~, 4.02, 23, 0.1600
564, Banjo to Kazooie no Daibouken Original Soundtrack, 4.25, 20, 0.1600
565, DARK SOULS Original Soundtrack, 3.95, 21, 0.1599
566, Eyes On Me ~featured in FINAL FANTASY VIII / Faye Wong, 3.97, 18, 0.1599
567, PinkSweets Original Sound Track, 3.91, 28, 0.1599
568, GBA Pokémon Ruby & Sapphire Music Super Complete, 4.26, 29, 0.1598
569, KLONOA2 SOUND TRACK, 4.33, 18, 0.1594
570, Seiken Densetsu 4 Original Soundtrack -Sanctuary-, 3.67, 24, 0.1594
571, THE LEGEND OF ZELDA -OCARINA OF TIME- / Re-Arranged Album, 3.80, 32, 0.1592
572, GRADIUS IN CLASSIC I, 4.41, 11, 0.1592
573, BEFORE METEOR: FINAL FANTASY XIV Original Soundtrack, 4.05, 28, 0.1592
574, GBA Pokémon Firered & Leafgreen Music Super Complete, 4.13, 26, 0.1590
575, Blade & Soul OST, 4.30, 15, 0.1587
576, Dragon Quest VIII Sora to Umi to Daichi to Norowareshi Himegimi Original Soundtrack, 4.14, 14, 0.1587
577, Shin Megami Tensei STRANGE JOURNEY Original Soundtrack, 3.62, 25, 0.1587
578, Devil May Cry ORIGINAL SOUNDTRACK, 4.24, 19, 0.1585
579, GRAN TURISMO Original Game Soundtrack, 4.38, 21, 0.1585
580, All Over Xanadu, 4.39, 14, 0.1583
581, Piano Pieces "SF 2" Rhapsody on a Theme of SaGa FRONTIER 2, 4.30, 22, 0.1583
582, Final Fantasy Gaiden: Seiken Densetsu Original Sound Version, 4.43, 15, 0.1581
583, Misty Blue, 4.24, 17, 0.1580
584, Valkyrie Profile -LENNETH- Original Sound Track, 4.21, 24, 0.1578
585, God of War Trilogy Soundtrack, 4.42, 12, 0.1578
586, DOUBLE DRAGON II The Revenge, 4.47, 15, 0.1576
587, SONIC COLORS ORIGINAL SOUNDTRACK ViViD SOUND × HYBRiD COLORS, 4.10, 34, 0.1575
588, AZEL -PanzerDragoonRPG- MEMORIAL ALBUM, 4.39, 18, 0.1574
589, Pop'n TWINBEE GRAFFITI, 4.31, 16, 0.1573
590, GENSOSUIKODEN II ORIGINAL GAME SOUNDTRACK Vol. 1, 4.31, 21, 0.1571
591, MOTOI SAKURABA LIVE CONCERT STAR OCEAN & VALKYRIE PROFILE, 4.54, 14, 0.1571
592, Shin Megami Tensei LAW & CHAOS DISC, 3.95, 21, 0.1569
593, Dairantou Smash Brothers for Nintendo 3DS / for Wii U Special Sound Test, 4.26, 25, 0.1566
594, BIOHAZARD 3 LAST ESCAPE ORIGINAL SOUNDTRACK, 3.86, 21, 0.1566
595, Turrican Soundtrack Anthology, 4.62, 25, 0.1564
596, Konami Music Masterpiece Collection, 4.83, 12, 0.1561
597, FINAL FANTASY X-2 INTERNATIONAL+LAST MISSION Original Soundtrack, 3.58, 25, 0.1560
598, Seiken Densetsu HEROES of MANA Original Soundtrack, 3.90, 20, 0.1560
599, Kyokugen Dasshutsu ADV Zennin Shibou Desu Soundtrack, 4.53, 15, 0.1556
600, Genso Suikoden II Music Collection ~Orrizonte~, 4.43, 15, 0.1556
601, front mission 3 Original Soundtrack, 3.92, 18, 0.1555
602, Gyakuten Saiban Jazz Album ~Gyakuten Meets Jazz Soul~, 3.92, 25, 0.1555
603, Shining Force III Original Soundtrack, 4.59, 17, 0.1555
604, Donkey Kong 64 • Official Soundtrack, 3.78, 23, 0.1554
605, Lunar -Harmony of Silver Star- Limited Sound Track, 4.50, 12, 0.1553
606, SUPER DONKEY KONG ORIGINAL SOUND VERSION, 4.12, 17, 0.1553
607, THE KING OF FIGHTERS '99 ARRANGE SOUND TRAX, 4.59, 17, 0.1550
608, OCTOPATH TRAVELER Original Soundtrack, 4.50, 19, 0.1549
609, Atelier Ayesha ~Alchemist of the Ground of Dusk~ Original Soundtrack, 4.50, 19, 0.1548
610, String Quartet "Dragon Quest", 4.10, 15, 0.1548
611, ARC RISE FANTASIA ORIGINAL SOUNDTRACK, 4.24, 21, 0.1548
612, Perfect Collection Ys IV The Dawn of Ys Vol. 3, 4.00, 15, 0.1545
613, FINAL FANTASY XI Rise of the Zilart Original Soundtrack, 3.98, 21, 0.1545
614, Ys Foliage Ocean in CELCETA Original Soundtrack, 4.06, 25, 0.1544
615, Sanctuary / The Star Onions, 4.00, 19, 0.1542
616, Dragon Quest VII ~Warriors of Eden~ Symphonic Suite + Original Soundtrack, 4.50, 12, 0.1542
617, multi - dimensional SONIC ADVENTURE 2 ORIGINAL SOUND TRACK, 4.15, 34, 0.1541
618, Rockman 7: Shukumei no Taiketsu! Original Soundtrack, 4.00, 22, 0.1541
619, THE KING OF FIGHTERS 2002 -UNLIMITED MATCH- ORIGINAL SOUNDTRACK, 4.59, 17, 0.1540
620, Mario & Luigi RPG Sound Selection, 4.04, 25, 0.1539
621, Albert Odyssey Gaiden: Legend of Eldean, 4.57, 15, 0.1538
622, Gyakuten Saiban + Gyakuten Saiban 2 Original Soundtrack, 4.14, 22, 0.1537
623, GOLDEN AXE THE MUSIC, 4.67, 18, 0.1533
624, The complete soundtrack from the Secret of Evermore video game, 4.16, 22, 0.1532
625, Super Donkey Kong Game Music CD Jungle Fantasy, 4.34, 16, 0.1532
626, Tomoyo After Original SoundTrack, 4.63, 12, 0.1532
627, MOTHER 2  Gyiyg no Gyakushuu, 4.05, 28, 0.1530
628, Arc The Lad Piano Album, 4.11, 18, 0.1530
629, LIVE A LIVE Original Soundtrack, 4.31, 18, 0.1529
630, Shin Megami Tensei III NOCTURNE Maniacs SOUNDTRACK extra version, 4.36, 21, 0.1528
631, Perfect Collection Ys III, 3.83, 20, 0.1524
632, Mugen Kairou: Hikari to Kage no Hako: a Soundtrack, 5.00, 13, 0.1524
633, COWBOY BEBOP, 4.21, 19, 0.1524
634, Okami Piano Arrange, 3.91, 27, 0.1519
635, Symphonic Suite Shining Force II ~Ancient Sealing~, 4.55, 22, 0.1518
636, CRIMSONSHROUD Original Soundtrack, 3.82, 22, 0.1518
637, Deus Ex: Human Revolution Original Soundtrack, 4.38, 20, 0.1517
638, Metal Gear >> Solid Snake Music Compilation of Hideo Kojima/Red Disc, 3.91, 17, 0.1515
639, PERSONA3 PORTABLE Original Soundtrack, 3.91, 27, 0.1515
640, MONSTER HUNTER 3 (tri) Original Soundtrack, 3.95, 19, 0.1513
641, Gyakuten Saiban Yomigaeru Gyakuten Original Soundtrack, 4.38, 20, 0.1513
642, STAR OCEAN -THE LAST HOPE- Original Soundtrack, 3.75, 26, 0.1513
643, TALES OF SYMPHONIA ORIGINAL SOUNDTRACK, 3.72, 32, 0.1512
644, Contra Chronicle Vol.1 coupling with "HARD CORPS:UPRISING", 4.78, 18, 0.1509
645, Genso Suikoden Music Collection ~Celtic Collection 2~, 4.46, 13, 0.1507
646, Sailing to the World Piano Score, 4.14, 14, 0.1505
647, Technosoft GAME MUSIC COLLECTION VOL.5 ~ Thunder Force IV, 4.59, 16, 0.1505
648, Mirror's Edge Original Videogame Score, 4.05, 20, 0.1502
649, Genso Suikoden Music Collection Produced by Kentaro Haneda, 4.41, 16, 0.1499
650, Armored Core: for Answer Original Soundtrack, 4.47, 15, 0.1496
651, Symphonic Suite Dragon Quest IX: Hoshizora no Mamoribito, 4.19, 18, 0.1495
652, Racing Lagoon ORIGINAL SOUNDTRACK, 3.95, 20, 0.1495
653, Devil May Cry 3 Original Soundtrack, 4.15, 17, 0.1494
654, GRANDIA ONLINE -PERFECT SOUND LIBRARY-, 3.93, 14, 0.1492
655, Little Busters! Original Soundtrack, 4.25, 22, 0.1492
656, FINAL FANTASY XI Treasures of Aht Urhgan Original Soundtrack, 3.95, 19, 0.1492
657, THE SCHEME SOUND TRACK, 4.34, 16, 0.1491
658, RIZ-ZOAWD Original Soundtrack, 3.61, 22, 0.1489
659, Dark Chronicle Premium Arrange, 4.12, 21, 0.1488
660, Ketsui ~Kizunajigokutachi~ EXTRA Limited Edition Bundled Bonus Special Soundtrack, 4.38, 17, 0.1486
661, Kaze no Tani no Nausicaä Soundtrack ~Haruka na Chi e~, 4.50, 12, 0.1486
662, Elvandia Story Original Soundtrack, 4.12, 17, 0.1481
663, WILD ARMS Music the Best -feeling wind-, 3.86, 21, 0.1478
664, FINAL FANTASY XI Wings of the Goddess Original Soundtrack, 3.57, 21, 0.1476
665, GRANBLUE FANTASY ORIGINAL SOUNDTRACK, 4.17, 15, 0.1473
666, the Garden of sinners -Movie "Kara no Kyoukai" Music Collection-, 4.69, 24, 0.1471
667, Dark Chronicle Original Sound Tracks, 4.02, 21, 0.1468
668, Castlevania 20th Anniversary Deluxe Music Collection, 3.68, 17, 0.1467
669, BREATH of FIRE II, 4.00, 15, 0.1466
670, SWORD OF MANA PREMIUM SOUNDTRACK, 3.67, 23, 0.1465
671, FINAL FANTASY BRAVE EXVIUS Original Soundtrack, 4.47, 17, 0.1460
672, Istoria ~Musa~, 4.38, 13, 0.1458
673, GENSOSUIKODEN II ORIGINAL GAME SOUNDTRACK Vol. 2, 4.18, 20, 0.1458
674, SALAMANDER 2 ORIGINAL GAME SOUNDTRACK, 4.39, 14, 0.1458
675, Rogue Galaxy Original Soundtrack, 4.21, 14, 0.1456
676, Akumajo Dracula Tribute Vol.1, 3.27, 32, 0.1455
677, TEKKEN TAG TOURNAMENT 2 ORIGINAL SOUND TRACK, 3.60, 15, 0.1452
678, WOLF'S RAIN O.S.T.2, 4.30, 15, 0.1450
679, Persona Original Soundtrack CD, 3.66, 25, 0.1449
680, Music from Brandish 2 - THE PLANET BUSTER, 4.31, 13, 0.1449
681, WOLF'S RAIN, 4.41, 16, 0.1447
682, CHOCOBO NO FUSHIGINA DUNGEON ORIGINAL SOUNDTRACK, 4.08, 18, 0.1446
683, Symphonic Suite Dragon Quest VI Maboroshi no Daichi, 4.50, 14, 0.1445
684, THE KING OF FIGHTERS '97 ARRANGE SOUND TRAX, 4.30, 15, 0.1445
685, FINAL FANTASY XIII-2 Original Soundtrack PLUS, 3.42, 25, 0.1444
686, RIDGE RACER 6 direct audio, 3.79, 17, 0.1444
687, Nintendo Sound Selection vol.1 Peach <Healing Music>, 4.06, 18, 0.1444
688, POTION: Relaxin' with FINAL FANTASY, 4.47, 15, 0.1443
689, Umineko no Naku Koro ni / Akiko Shikata, 4.33, 27, 0.1443
690, Professor Layton and the Unwound Future Original Soundtrack, 4.36, 18, 0.1442
691, Bastion Original Soundtrack, 4.03, 31, 0.1441
692, Street Fighter II -G.S.M. CAPCOM 4-, 4.11, 18, 0.1441
693, Out Run, 4.31, 16, 0.1440
694, Perfect Collection Sorcerian, 4.18, 14, 0.1439
695, DRAGON'S CROWN ORIGINAL SOUNDTRACK, 4.18, 19, 0.1437
696, Destiny: Dreamer's ALLIANCE, 4.42, 13, 0.1436
697, GRANDIA XTREME Original Soundtracks, 3.76, 19, 0.1436
698, Grim Fandango Original Game Soundtrack, 4.45, 20, 0.1434
699, CONCERTO ~The extraordinary world of Concerto Gate~, 4.08, 13, 0.1433
700, BORDER DOWN Sound Tracks Vol.2, 4.46, 14, 0.1433
701, 20th Anniversary ROCKMAN X SOUND BOX, 4.71, 14, 0.1433
